Type,Content,Username,User Reputation,Upvotes,Is Moderator
Question,"Use of ChatGPT generated text for posts on Stack Overflow is temporarily banned.
However, the reasons for the ban really apply to much or all of the network, and certainly for sites that are similar in nature to Stack Overflow.
I suggest (temporarily) banning ChatGPT network-wide.
",Ad&#225;m,11376,253,0
Comment on Question,"@Trilarion That makes the impression that you are talking about answers without much prompting to steer the answer in the direction you want? It should be easy to make it specific, like by literally including ""Be specific"" in the prompt or the system prompt. Do you have an example query, so I can try to prompt it for very specific and very unspecific answers? (Try to include ""Be terse."" in the prompt for illustration)",Volker Siegel,1121,0,0
Comment on Question,"@VolkerSiegel ""You can expect better than human answers in many cases."" Not sure if better than human in many cases. I would rather say surprisingly good almost as good as human in many cases. But what is mostly evident is a lack of specificity. The general problem area is well explained, but when it comes down to grasping the core of the problem there is often still a lack. It can be helpful, but you always have to take it with a grain of salt.",NoDataDumpNoContribution,14712,0,0
Comment on Question,"@BelowtheRadar The ban is of an account- not an IP address. If they want to circumvent the ban, they would create a new account (which they shouldn't, but they won't care if they want to), and there's not much we can do about that unless they do anything to trigger certain detectors like voting-ring detection.",starball,28971,1,0
Comment on Question,"@starball off course, users that will continue to post GPT answer after it was banned will try to hide behind a VPN. It is in the nature of some humans to do things like that.",Below the Radar,100,0,0
Comment on Question,"@BelowtheRadar I was going to, but I wanted to give you the benefit of the doubt. Did you post that comment because you have reason to believe there is a connection between users using VPNs and users using ChatGPT to post answers?",starball,28971,1,0
Comment on Question,"@starball you should just flag my comment if you think it's inapropriate, not replying to it. Thank you",Below the Radar,100,0,0
Comment on Question,"@BelowtheRadar unless you have a reason why that's related to this question, post that as a separate question. Tag it either with support or feature-request.",starball,28971,0,0
Comment on Question,I read here a suggestion to ban the users that post GPT answer. Is there a way to ban people using a VPN?,Below the Radar,100,0,0
Comment on Question,"With GPT-4, the situation changed. You can expect better than human answers in many cases. The improvement from ChatGPT is impressive. The difference from ChatGPT to GPT-4 is much larger than the difference from GPT-3 to ChatGPT.",Volker Siegel,1121,0,0
Comment on Question,@WalterMitty DetectGPT,Ad&#225;m,11376,0,0
Comment on Question,Maybe we need a bot that can detect vacuous answers!,Walter Mitty,1874,0,0
Comment on Question,Abstracts written by ChatGPT fool scientists: nature.com/articles/d41586-023-00056-7,GoGame RJ,111,1,0
