User_ID,Username,User Reputation,Content,Is Moderator
447356,Shadow Wizard Love Zelda,66393,"Well done! Glad you made the right decision and really hope it will become permanent and be extended to ban any AI generated answers. AI will never be able to post good programming answers, not even in 100 years.",0
12101554,Samathingamajig,11438,"For now, should it also be banned on Meta Stack Overflow? The only mention of meta is where the rules will be discussed, unless ""Stack Overflow"" refers to both regular and meta",0
8372853,cigien,58811,"@Samathingamajig There's no need to ban it on Meta. The problems outlined in this question don't really apply to Meta, e.g. programming answers are not on-topic here, so SMEs aren't required to evaluate the answers. More importantly, the scale is completely different. Meta can't possibly get thousands of AI generated answers a day; it'll get noticed immediately if even 5-6 such answers get posted, and the community/moderators can deal with that quantity quite easily.",0
10871900,dan1st is crying,14043,Is it allowed to base an answer on ChatGPT when still checking and testing it?,0
12101554,Samathingamajig,11438,"@dan1st That will be decided in the future, as for now I personally believe that it should be allowed as long as you don't say what it says verbatim and you verify its accuracy",0
2029983,Thom A,91067,"It's good that such content isn't allowed, however, what can we, as curators, do? The above post says that the answers can look like good answers, which means that to the trained eye they would likely warrant a downvote because they're wrong, but that doesn't warrant flagging. At ""best"" this means the user might get some downvotes while gaining some upvotes too, due to it looking like a good answer. I have no idea how I tell an answer is ChatGPT generated, and custom flags take months to be resolved right now meaning that a user could continue to harm the site till the flag is handled.",0
266304,Alex Poole,182927,"Whether the AI-generated answers are correct or not, ""Stack Overflow is a question and answer site for professional and enthusiast programmers."" That applies for both the Q and A part. Someone who just copies and pastes Q&A into/from an AI tool doesn't seem to count as either to me. Even if they check and test it; if they can really verify it's a good correct answer they should have been able to write it themselves. That doesn't necessarily mean there isn't (or won't be) a place for AI on the internet, but it doesn't seem to belong here.",0
964243,Boann,48755,It should not be temporary.,0
2442804,luk2302,54733,If we see a user posting multiple answers that look like AI generated should we just downvote and flag normally or should we involve a moderator flag?,0
1744230,QBrute,4428,"Aha! I knew something was going on. I found a user who joined a few days ago, and posted a ton of answers in just a few hours on very different tags and topics. Most of them were text only and seemed kinda off and inaccurate. Some other user called them out as well. After downvoting, they quickly deleted their answers. Now, this user seems to be suspended for plagiarism if that is the same user I saw yesterday, or they've deleted their account. So I guess this is what happened here.",0
424903,Gimby,5105,"I want to call this plagiarism to be honest. People are taking an ""answer"" from somewhere else and posting it as if it is their own work. Sigh. How low can you go. Digital de-evolution. I rank this the same as deep faking celebrities, a really deplorable use of really cool technology.",0
6296561,♦Zoe is on strike,27583,"@Gimby That's what we've been rolling with so far (prior to the blanket ban). Many users who use chatgpt blatantly disregard it anyway, so here we are",1
2951933,Eugen Sunic,6803,Was it me that forced SO into creating that policy?,0
4433386,Marcus Müller,34416,"@ShadowTheKidWizard where exactly do you ""not even in 100 years, AI will be able to post good programming answers"" from? I'd argue you're 100 years late for that claim. ChatGPT was trained as a universal language model. If the same effort was put into making it specifically adapted to posting good answers here and even a modicum of effort was put into telling it how to judge quality of an answer (we have exactly that: it's called upvotes, and you can maybe even weigh in answerer's reputation), then it would mostly be posting good answers, by our own standards.",0
6296561,♦Zoe is on strike,27583,"@EugenSunic You alone? No. Not unless you've somehow created probably hundreds of accounts by now, spread across the globe, varied between brand new accounts spewing out answers until they're rate limited, and old accounts dumping answers, and done so in a way that lets you concurrently maintain several of them at once. Unless you are the matrix, I doubt you have. But you've contributed to the problem and consequently this policy.",1
2442804,luk2302,54733,"@EugenSunic most certainly not, more likely that the 1000s of BS answers that are currently being submitted were the reason. Already flagged like 10 users and ~50 answers.",0
4433386,Marcus Müller,34416,"@ShadowTheKidWizard Really, many of the new-user, low-effort answers are for all practical purposes effectively duplicates, because any ""knowledgeable"" user would know that ""iterating over a list of integers"" is the same as ""going through list of floats one by one"" in Python – and that's exactly what such a language model excels at. Beginners are just really bad at knowing what to search for. The AI is really good at that. It reproduces, in coherent English, adapted non-deleted answers.",0
4433386,Marcus Müller,34416,"@ShadowTheKidWizard I've just shown: if the median answer to a simple question from ChatGPT is bad, that's probably because the median human answer here is at the very best not much better (and I'd argue, especially for newbie questions, that's actually the case. A lot of the answerers are the one-eyed leading the blind). So, I'd be really careful about making these predictions. They reek a bit of self-idolization. Be proud for what you are: Someone with a judgement of their own, not some model optimized for sounding like someone like that. But: a good answer here needs no own judgement!",0
447356,Shadow Wizard Love Zelda,66393,"@MarcusMüller so if I read correctly between the (many) lines, what you're saying is that the AI only copy and paste existing answers, and that's why it must be good? Sorry, but I find it sadly funny. And as for my opinion against AI, it's just my personal opinion, I don't consider myself better than anything, and I don't consider AI to be anything near ""Intelligent"", that's all.",0
4433386,Marcus Müller,34416,"@ShadowTheKidWizard you do not read correctly. The AI contextualizes, and synthesizes an answer that fits the prompt. Whether or not it is intelligent is irrelevant to the question of posting good answers.",0
683329,Jiří Baum,5495,"Even if an AI does get to the stage of generating good programming answers, they should still not be pasted into SO; the AI should either be a separate functionality, or it may be integrated into SO, but at no stage is it valid to paste an AI answer as though it were written by a user.",0
7028,Sklivvz,27239,"I'm totally in favor of using bots to answer. If it can be automated, it's stupid not to do it.",0
1835379,Cerbrus,71472,"@Sklivvz but it can't, because the output is crap.",0
964243,Boann,48755,"@Sklivvz If good answers could be automated, there would be no point building a repository of questions and answers. Just have a single page into which you type a question and the oracle answers.",0
7028,Sklivvz,27239,"I understand being scared of new technology, but your point is absurd. By the same standard, let's not use the vocabulary; they don't output correct answers, either. Burn all the Grammarly! No keyboard shortcuts! :-) You should never care what tools people use to produce solutions; vote on the answers on their merits instead. I'll take it if I get a great response from ChatGPT. If people can't find it here, they'll go elsewhere, a total loss for Stack Overflow.",0
7028,Sklivvz,27239,"@Boann if answers can be automated, why would you think there's no point in building a repository of good answers? :-) The point is the same that always existed, AI is just assistance.",0
1835379,Cerbrus,71472,"@Sklivvz you keep repeating the same if, but the whole problem is that the answers are crap. They're incorrect, they're contradicting themselves or they're not even in the right language. There whole problem here is that people are dumping loads and loads of bad AI-generated content. ""If answers can be automated"", we wouldn't be having this discussion. There's no point arguing in favor of AI-generated answers because the AI can't consistently generate good answers.",0
7028,Sklivvz,27239,"@Cerbrus I disagree; it's trivial to produce good answers with ChatGPT if you know how to -- check the output and ask the bot to correct mistakes; it works about 70-80% of the time. Also, how would you enforce this exactly? If I, a 30k user in good standing, post good quality content generated via a bot, what exactly do you want to do? Delete my answers? Suspend me? It's a vast, vast, vast overreaction.",0
