Type,Content,Username,User Reputation,Upvotes,Is Moderator
Question,"I read:


Google CEO says a quarter of the company’s new code is already AI generated.
According to Stack Overflow’s 2024 Developer Survey, over 75 percent of respondents are already using or are “planning to use” AI tools to assist with software development.
Another survey by GitHub indicated that 92 percent of US-based developers are currently using AI coding tools.


Based on this overwhelming use of genAI for coding, could the 2-year-old ban on using genAI for coding in SO answers be lifted? The ban was established when LLMs were much weaker (e.g., ~230 fewer elos on this benchmark) and when humans were less acquainted with LLMs.
",Franck Dernoncourt,82642,-59,0
Comment on Question,"@ChristophRackwitz they could do that without using any LLMs. If rep whoring is the issue, the remove rep as maths SE did?",Franck Dernoncourt,82642,0,0
Comment on Question,I've seen users mine github issues for Q&A pairs they can post. it's disingenious.,Christoph Rackwitz,14929,0,0
Comment on Question,"@ChristophRackwitz most such questions would be closed as duplicates, likely causing a question ban, and there's a limit of 50 questions per month. Humans are already progressively visiting SO less frequently because GPT and other LLMs have become pretty good.",Franck Dernoncourt,82642,0,0
Comment on Question,"if this policy changes, a lot of real humans will leave, because this site would become nothing more than a frontend to ChatGPT, and the ""people"" posting answers will be sockpuppets of ChatGPT. there is no joy in any of that. I have no desire to spend my time in a community of copywriters. anyone who wants to, can start a new site. the people who give this site its life do not want any part of that. if you do, this place is not for you.",Christoph Rackwitz,14929,0,0
Comment on Question,"that opens the door for crafty people that will, or already do, use AI to generate a bunch of question-answer pairs for which the LLM came up with the answer and the human merely made the machine rephrase the text so it doesn't reek of ChatGPT's style. that's equivalent to someone googling on a topic they have no clue of, then writing an answer. that is terrible. ""legalization"" is strategically a bad move. I'd rather they keep the policy, and anyone who feels like having an LLM assist them had better make damn sure it's not a substitute for their own competence.",Christoph Rackwitz,14929,0,0
Comment on Question,"@ChristophRackwitz Yes, I propose to allow 10k rep users to post answers that used some LLMs.",Franck Dernoncourt,82642,0,0
Comment on Question,"what are you proposing? to allow 10k rep users the posting of ChatGPT answers? nobody wants that from anyone at any rep. I think the feedback you got so far is very clear. I won't tell you to accept it. that's up to you. I will tell you, I will not spend time trying to convince anyone who can't be convinced.",Christoph Rackwitz,14929,1,0
Comment on Question,"@ChristophRackwitz no,  the ban is about avoiding a flood a LLM answers. A min rep threshold would avoid that.",Franck Dernoncourt,82642,0,0
Comment on Question,"10k is both easy and hard to attain. rep whores will answer all the easy newbie questions and jump on all the bounties to rush to that arbitrary limit, while domain experts spend an hour on a decent answer to a decent question, which comes along once in a blue moon, and get a few updoots out of it. -- the ban is about having rules in place that unequivocally allow the hammer to come down on anyone who copypastes out of chatgpt, anyone who hasn't got a clue but still ""answers"" the question by having chatgpt answer it for them. curation/moderation efforts are costly. we do not want junk here.",Christoph Rackwitz,14929,0,0
Comment on Question,@KevinB then only allow genAI for people with >10k rep?,Franck Dernoncourt,82642,0,0
Comment on Question,@FranckDernoncourt historically (evidenced by the influx of non-checked/improved wrong ai answers we received) humans don't do that on average. Do you have an army of subject matter experts willing to slog through ai generated content for mistakes and correct them?,Kevin B,95031,0,0
Comment on Question,@KevinB generated answers aren't always perfect.  Point of SO is having human check/improve the generated answers.,Franck Dernoncourt,82642,0,0
Comment on Question,but why? that's a waste of time. just generate again,Kevin B,95031,0,0
Comment on Question,@KevinB we're not at that level yet. point of SO is having human check/improve the answer.,Franck Dernoncourt,82642,0,0
Comment on Question,@FranckDernoncourt would an ai not be able to generate answers with older lib versions? if not... then what are we doing?,Kevin B,95031,0,0
Comment on Question,"@KevinB software don't always use the latest lib versions. And again, point of SO is having human check/improve the answer.",Franck Dernoncourt,82642,0,0
Comment on Question,If generative ai is a revolution in the making... surely it wouldn't benefit from cataloging older versions of its answers on SO rather than having people generate new answers every time.,Kevin B,95031,0,0
Comment on Question,"I generally consider such claims more of an admittance that the business cares more about printing money than producing a valuable product. That's not to say businesses shouldn't be focused on making money, more, i don't feel 25% of google's code base supposedly being AI generated is necessarily a relevant argument in favor of allowing AIGen answers. What value would such answers bring here, when one could instead just ask AIGen and get a more recent iteration of an AIGenned answer, potentially based on a larger or better focused data set than was available when the old answer was generated?",Kevin B,95031,0,0
Comment on Question,"@Starship If 25% of the new Google codebase, we're talking about returning users.",Franck Dernoncourt,82642,0,0
Comment on Question,@FranckDernoncourt At one point they had never smoked before and decided to start...,Starship-On Discussions Strike,331,0,0
Comment on Question,@Starship they keep smoking due to nicotine. What's the LLM nicotine?,Franck Dernoncourt,82642,0,0
Comment on Question,@FranckDernoncourt People smoke. Is smoking good for you?,Starship-On Discussions Strike,331,1,0
Comment on Question,@Starship likely some correlation,Franck Dernoncourt,82642,0,0
Comment on Question,@FranckDernoncourt People use it is not the same as it's good.,Starship-On Discussions Strike,331,5,0
Comment on Question,"@KarlKnechtel at time of the ban, genAI wasn't as good. Overwhelming use of genAI for coding shows that now it works decently.",Franck Dernoncourt,82642,0,0
Comment on Question,@blackgreen Same reason as why 25% of the new Google codebase is created by genAI even googlers could write it:  save time.,Franck Dernoncourt,82642,0,0
Comment on Question,"""Based on this overwhelming use of genAI for coding"" - absolutely not, because none of this has absolutely anything whatsoever to do for the reasoning behind the ban. And you know this; you were in that discussion, and in fact extensive discussion all over MSO and MSE about AI is the only reason I recognize your name.",Karl Knechtel,61150,6,0
Comment on Question,@FranckDernoncourt I don’t see why anyone who has the expertise to check+improve an AI answer wouldn’t simply post one themselves.,blackgreen,43411,7,1
Comment on Question,"@PresidentJamesK.Polk ""if you have to use an AI to help you answer a question then you shouldn't be answering it"" disagreed. Why code from scratch if some LLM can draft most of the code?",Franck Dernoncourt,82642,0,0
Comment on Question,"@Lino ""Why should people use SO to get their AI generated answers, when they can just ask the AI directly?"" because on SO, posts would  be checked+ possibly improved by humans.",Franck Dernoncourt,82642,0,0
